b.covariate,b.condition,slope.nocov,slope.cov,se.nocov,se.cov,power.z.nocov,power.z.cov,power.x2.nocov,power.x2.cov
1,1.4000000000000001,1.1510222531082135,1.2349373582035645,0.4749336471964528,0.5014858037859998,0.7126666666666667,0.7143333333333334,0.7126666666666667,0.7273333333333334
1.5,1.4000000000000001,1.0723940600427238,1.234489358279161,0.47203977237302874,0.5196161551857378,0.659,0.6773333333333333,0.6596666666666666,0.691
2,1.4000000000000001,1.0112720268747044,1.2635801485374638,0.4700716464007181,0.5457060539770685,0.599,0.6496666666666666,0.599,0.6663333333333333
2.5,1.4000000000000001,0.9158401825885589,1.2762333585011656,0.46663531792475205,0.5779432354723422,0.5253333333333333,0.6186666666666667,0.526,0.6413333333333333
3,1.4000000000000001,0.8257142437249374,1.275159228454323,0.464080094421056,0.6097293605051678,0.4493333333333333,0.5576666666666666,0.4493333333333333,0.5903333333333334
3.5,1.4000000000000001,0.7462541544573285,1.2739423732287325,0.4621545558293599,0.6442517771594581,0.387,0.511,0.387,0.5416666666666666
4,1.4000000000000001,0.6864198467402745,1.2975581813504944,0.46085509441803796,0.6853127576101555,0.33766666666666667,0.48233333333333334,0.338,0.5153333333333333
0,1.6,1.3614885094123368,1.3822841548837996,0.48570099315428444,0.49390796337824283,0.8406666666666667,0.827,0.8413333333333334,0.833
0.5,1.6,1.367283698358318,1.4068459738053163,0.4857209862239059,0.49902385602596055,0.838,0.8276666666666667,0.8383333333333334,0.8336666666666667
1,1.6,1.3142154285744925,1.4134855353997149,0.4835181097192231,0.5119192994936785,0.8206666666666667,0.8226666666666667,0.8206666666666667,0.831
1.5,1.6,1.2377260972210125,1.4258064461346165,0.47988905849777275,0.5314544880313277,0.7666666666666667,0.796,0.767,0.8056666666666666
2,1.6,1.1535713347494887,1.4380682515165533,0.4761464493031108,0.5563200378673056,0.7043333333333334,0.7623333333333333,0.7043333333333334,0.7716666666666666
2.5,1.6,1.0560991379362876,1.4618439680796942,0.4722543176437127,0.5885899999889486,0.6426666666666667,0.7313333333333333,0.6426666666666667,0.753
3,1.6,0.9567186936100305,1.477454854949717,0.46905926790942704,0.6248514927308393,0.5433333333333333,0.684,0.5436666666666666,0.708
3.5,1.6,0.8718513136970916,1.4879999036941869,0.46620387423026455,0.6600423227754477,0.491,0.6426666666666667,0.49133333333333334,0.67
4,1.6,0.7777914590364876,1.4901926754970598,0.4635049106781327,0.700814964143478,0.416,0.576,0.416,0.6123333333333333
0,1.8,1.5420055017799734,1.566015271698752,0.4983314246368903,0.5072554804903754,0.903,0.896,0.9036666666666666,0.8986666666666666
0.5,1.8,1.5171777328080918,1.5658675287998174,0.49642428950852535,0.5110971416963056,0.904,0.9006666666666666,0.904,0.905
1,1.8,1.4736593249081866,1.5815435470245016,0.4945486839038762,0.524110999460674,0.8743333333333333,0.878,0.8753333333333333,0.8856666666666667
1.5,1.8,1.4007282076030612,1.5999283435123732,0.4897417817156841,0.5431435516479449,0.8513333333333334,0.8746666666666667,0.852,0.88
2,1.8,1.3063818311568416,1.6283797763642305,0.4851937505851588,0.5707012220267115,0.7983333333333333,0.8506666666666667,0.799,0.8613333333333333
2.5,1.8,1.184520913620839,1.6316072533532164,0.4787841875663521,0.5994807730290918,0.7286666666666667,0.817,0.7286666666666667,0.8303333333333334
3,1.8,1.0741594130052852,1.626136176323761,0.4742785403789726,0.633187745094067,0.6466666666666666,0.7683333333333333,0.647,0.7883333333333333
3.5,1.8,0.9784216034980825,1.6674099707586816,0.4706174044401078,0.6743206041460662,0.5623333333333334,0.737,0.5626666666666666,0.759
4,1.8,0.8795374527270291,1.6874608675155078,0.4671364514465282,0.7159686641625231,0.49533333333333335,0.6946666666666667,0.49566666666666664,0.7283333333333334
0,2,1.7357501511977151,1.7640398688852135,0.5144764177275766,0.5242778891327012,0.9496666666666667,0.9463333333333334,0.9496666666666667,0.949
0.5,2,1.7027850376577691,1.752951534266946,0.512054580778757,0.5270384688616224,0.9503333333333334,0.9486666666666667,0.9503333333333334,0.9516666666666667
1,2,1.644949431770317,1.7642125610959647,0.507451412465677,0.5389895256558566,0.938,0.9446666666666667,0.9386666666666666,0.948
1.5,2,1.565369941898497,1.789944365538617,0.5032162773078935,0.560786461556431,0.9043333333333333,0.9223333333333333,0.906,0.9306666666666666
2,2,1.4382593671722694,1.794303867632515,0.4940928513681737,0.585504833887768,0.8656666666666667,0.9096666666666666,0.8666666666666667,0.9183333333333333
2.5,2,1.3261564398627113,1.8118617503417938,0.4872044928788051,0.6148356460001009,0.812,0.8923333333333333,0.8136666666666666,0.9026666666666666
