b.covariate,sd.lat,slope.nocov,slope.cov,se.nocov,se.cov,power.z.nocov,power.z.cov,power.x2.nocov,power.x2.cov
4,3.5,0.5769707441209618,0.7156039147424756,0.4589627850161135,0.5227781337313204,0.252,0.2643333333333333,0.252,0.281
0,4,0.5904761795047411,0.5983633801470786,0.45899570016956037,0.4656106481481557,0.25733333333333336,0.249,0.25766666666666665,0.256
0.5,4,0.6079357220978224,0.6185439941358488,0.45942717459273824,0.46671984309594317,0.274,0.261,0.2743333333333333,0.27066666666666667
1,4,0.5967910962351216,0.612644193408859,0.45939384316755605,0.46925872460899465,0.275,0.265,0.2753333333333333,0.271
1.5,4,0.5790293295687323,0.6055724890459541,0.4589977298540064,0.47232857148312357,0.254,0.25133333333333335,0.254,0.25966666666666666
2,4,0.5801586588766888,0.610263656174481,0.4590084795265844,0.4768865241930903,0.252,0.247,0.252,0.25633333333333336
2.5,4,0.5477634870487179,0.6022869044184728,0.45831686731916255,0.48397596653963093,0.234,0.23,0.234,0.24366666666666667
3,4,0.56585001579487,0.6348829846875197,0.45862573916667065,0.4917924691922879,0.251,0.237,0.25133333333333335,0.24833333333333332
3.5,4,0.5386096935744421,0.6247569601483772,0.45807397443217296,0.5006067146893025,0.22666666666666666,0.23533333333333334,0.227,0.24833333333333332
4,4,0.5087355393763032,0.6150557564422857,0.4576370901960965,0.5108357680561701,0.209,0.213,0.209,0.228
