"Subject","Spoken","Written","SpokenProfile","WrittenProfile","Sequence","PositionInSession","Sex","Age","L1","NrLang","DS.Span","DS.Total","WST.Right","WST.Wrong","Raven.Right","English.Total","English.MC","English.Cloze","LDT.Hits","LDT.FalseAlarms","LDT.WordRT","LDT.NonwordRT","LDT.APrime","LDT.AverageRT","Simon.CorrectCongruent","Simon.CorrectIncongruent","Simon.CongruentRT","Simon.IncongruentRT","Simon.RTRatio","Simon.RTDifference","HD_LV_Niveau","HD_HV_Niveau","FR_LV_Niveau","FR_HV_Niveau","EN_LV_Niveau","EN_HV_Niveau","zEnglish.MC","zEnglish.Cloze","English.Overall","ProfileRight"
"7215",5,19,0,0,"DACB",3,"male",74,"monolingual",3,2,4,34,2,13,21,9,12,0.9,0.05,370,1218,0.9597953216,794,1,1,571.5,601.5,1.0524934383,30,6,6,4,4,4,2,-1.0106869735806,-0.390134356520146,-1.40082133010074,FALSE
"7269",15,22,1,0,"CBDA",1,"male",25,"monolingual",5,8,12,35,0,24,36,17,19,1,0,251.5,247.5,1,249.5,1,1,370.5,373,1.0067476383,2.5,6,6,4,4,4,4,0.723467619158229,0.64529331955228,1.36876093871051,TRUE
"7330",18,30,1,1,"BDAC",4,"female",68,"monolingual",4,6,8,37,0,12,37,17,20,1,0.1,450,656,0.975,553,1,1,611,610.5,0.9991816694,-0.5,6,6,4,4,4,4,0.723467619158229,0.793211558991198,1.51667917814943,TRUE
"7337",21,16,0,0,"BCAD",2,"female",49,"monolingual",3,4,5,36,2,19,30,15,15,1,0.05,270.5,618,0.9875,444.25,1,1,492.5,474.5,0.9634517766,-18,6,6,1,1,4,4,0.289928970973523,0.0536203617966079,0.343549332770131,FALSE
"7479",16,18,0,0,"ACBD",2,"male",25,"monolingual",4,8,11,38,1,34,43,19,24,0.95,0,121,185.5,0.9875,153.25,0.8571428571,0.9285714286,312,326,1.0448717949,14,6,6,3,3,5,5,1.15700626734294,1.38488451674687,2.54189078408981,FALSE
"7540",23,14,0,0,"BDAC",4,"female",59,"monolingual",2,3,5,31,2,13,29,14,15,1,0,605,773,1,689,0.9285714286,1,762,817,1.0721784777,55,6,6,3,3,3,3,0.0731596468811693,0.0536203617966079,0.126780008677777,FALSE
"7569",6,12,0,0,"BDAC",4,"male",10,"monolingual",1,5,7,4,0,8,6,4,2,0.95,0.05,796,581,0.9736842105,688.5,0.9285714286,0.9285714286,608,524,0.8618421053,-84,4,5,0,0,2,2,-2.09453359404236,-1.86931675090933,-3.96385034495169,FALSE
"7601",17,22,0,0,"DBCA",3,"female",38,"monolingual",3,6,9,36,0,22,39,20,19,1,0,492,501,1,496.5,0.9285714286,1,324,379,1.1697530864,55,6,6,2,2,3,3,1.37377559143529,0.64529331955228,2.01906891098757,FALSE
"7616",2,6,0,0,"CADB",1,"female",11,"bilingual",2,4,6,13,10,2,15,7,8,1,0.15,676,884,0.9625,780,0.8571428571,1,520.5,529,1.0163304515,8.5,4,4,2,2,2,2,-1.4442256217653,-0.981807314275818,-2.42603293604112,FALSE
"7744",7,3,0,0,"CBDA",1,"male",11,"monolingual",2,2,2,6,15,18,9,7,2,0.9,0.3,499.5,675.5,0.880952381,587.5,0.6428571429,0.5714285714,485,477,0.9835051546,-8,3,3,1,1,1,1,-1.4442256217653,-1.86931675090933,-3.31354237267463,FALSE
"776",13,10,0,0,"ACBD",2,"female",40,"bilingual",2,4,6,29,13,11,6,6,0,1,0.35,428.5,1601,0.9125,1014.75,1,1,469,512.5,1.092750533,43.5,6,6,1,1,1,1,-1.66099494585766,-2.16515322978716,-3.82614817564482,FALSE
"7794",12,24,1,1,"BDAC",4,"male",64,"monolingual",3,5,6,36,0,10,38,16,22,1,0.15,553,1143,0.9625,848,1,1,548.5,582,1.0610756609,33.5,4,4,4,3,4,4,0.506698295065876,1.08904803786903,1.59574633293491,TRUE
"78",19,20,0,0,"BCAD",2,"female",47,"monolingual",3,6,8,33,1,26,27,16,11,1,0.05,354,542,0.9875,448,1,1,459.5,479,1.042437432,19.5,6,6,4,5,4,4,0.506698295065876,-0.538052595959064,-0.0313543008931882,FALSE
