"textName","TTR","Guiraud","nTokens","nTypes","nLemmas","meanWordLength","MSTTR10","MSTTR30","MSTTR50","HDD42","HDD31","HDD20","MTLD83","MTLD72","MTLD61","MTLD50","MTLD83MA","MTLD72MA","MTLD61MA","MTLD50MA","MATTR100","MATTR65","MATTR30","MATTR10","lexWordNumber","lexWordRatio","ornWordNumber","conjunctionNumber","conjunctionRatio","fullStops","nAdvTokens","nAdjTokens","nVerbTokens","nNounTokens","nAdvTypes","nAdjTypes","nVerbTypes","nNounTypes","nAdvLemmas","nAdjLemmas","nVerbLemmas","nNounLemmas","nConjunctionLemmas","YulesKLemma","YulesK"
"N_CD_6_narr_D_C_3.txt",0.82051,5.1241,39,32,31,4.58974358974359,1,0.866666666666667,NA,32,26.6072874493927,18.2051282051282,39,60.84,84.7414285714286,108.642857142857,38.5,NA,NA,NA,NA,NA,0.903333333333333,0.986666666666667,20,0.512820512820513,4,1,0.0256410256410256,7,2,2,8,8,2,2,6,7,2,2,6,7,1,157.790927021696,65.7462195923734
"N_CD_7_arg_D_C_1.txt",0.8125,4.59619,32,26,25,4.5,0.933333333333333,0.833333333333333,NA,26,25.34375,17.5483870967742,32,47.7866666666667,66.56,85.3333333333333,20.7272727272727,NA,NA,NA,NA,NA,0.811111111111111,0.969565217391304,18,0.5625,8,3,0.09375,2,4,4,6,4,3,4,5,3,3,3,4,3,2,214.84375,117.1875
"N_CD_7_arg_D_C_2.txt",0.81818,4.7001,33,27,25,4.06060606060606,0.966666666666667,0.8,NA,27,25.6590909090909,17.6900048875855,33,50.82,70.785,90.75,19.75,NA,NA,NA,NA,NA,0.808333333333333,0.958333333333333,17,0.515151515151515,6,3,0.0909090909090909,5,2,4,6,5,2,4,6,3,2,3,5,3,2,293.847566574839,110.192837465565
"N_CD_7_arg_D_C_3.txt",0.73438,5.875,64,47,45,4.328125,0.966666666666667,0.85,0.76,33.8775118984664,26.3362241412959,17.9691001863464,31.3846153846154,67.4635294117647,93.9670588235294,120.470588235294,32.3333333333333,NA,NA,NA,NA,NA,0.862857142857143,0.976363636363636,32,0.5,11,8,0.125,5,4,7,12,9,4,7,10,6,4,6,9,6,5,195.3125,112.3046875
"N_CD_7_narr_D_C_1.txt",0.7381,4.7834,42,31,28,4.88095238095238,0.9,0.8,NA,31,24.1933727376603,16.7352809791834,13.2768595041322,39.5602394401821,62.5418181818182,80.1818181818182,16.2727272727273,NA,NA,NA,NA,NA,0.751282051282051,0.896969696969697,26,0.619047619047619,9,2,0.0476190476190476,7,7,2,11,6,5,2,10,5,4,1,7,5,1,306.122448979592,113.378684807256
"N_CD_7_narr_D_C_2.txt",0.86486,5.26077,37,32,30,4.56756756756757,0.933333333333333,0.866666666666667,NA,32,27.2520251343781,18.2312312312312,46.546,76.664,106.782,136.9,NA,NA,NA,NA,NA,NA,0.895833333333333,0.971428571428571,18,0.486486486486487,4,1,0.027027027027027,4,2,2,6,8,2,2,5,8,2,2,4,8,1,219.138056975895,58.436815193572
"N_CD_7_narr_D_C_3.txt",0.83333,5.40062,42,35,34,5.59523809523809,0.925,0.866666666666667,NA,35,26.9224738675958,18.212543554007,21.5110081112399,70.56,98.28,126,24.5,NA,NA,NA,NA,NA,0.856410256410256,0.966666666666667,26,0.619047619047619,2,1,0.0238095238095238,7,0,2,10,14,0,2,10,13,0,2,8,13,1,204.081632653061,68.0272108843537
"N_CD_8_arg_D_C_1.txt",0.82353,3.3955,17,14,14,5.17647058823529,0.9,NA,NA,14,14,14,17,26.9733333333333,37.57,48.1666666666667,16.5,NA,NA,NA,NA,NA,NA,0.9125,9,0.529411764705882,0,0,0,2,0,0,6,3,0,0,5,3,0,0,5,3,0,276.81660899654,138.40830449827
"N_CD_8_arg_D_C_2.txt",0.70833,3.47011,24,17,17,4.95833333333333,1,NA,NA,17,17,15.1811594202899,24,24,32.0914285714286,41.1428571428571,11,14.5,NA,NA,NA,NA,NA,0.92,15,0.625,5,0,0,4,5,0,7,3,5,0,5,2,5,0,5,2,0,243.055555555556,208.333333333333
"N_CD_8_arg_D_C_3.txt",0.91304,4.3788,23,21,21,4.91304347826087,1,NA,NA,21,21,18.498023715415,44.965,74.06,103.155,132.25,NA,NA,NA,NA,NA,NA,NA,1,15,0.652173913043478,5,2,0.0869565217391304,3,2,3,6,4,2,2,6,4,2,2,5,4,2,113.421550094518,37.8071833648393
"N_CD_8_narr_D_C_1.txt",0.64286,4.16619,42,27,25,4.52380952380952,0.925,0.6,NA,27,22.2287143750558,16.0737067810239,16.8,33.4634146341463,43.8470363288719,58.8,15.0666666666667,22.25,NA,NA,NA,NA,0.694871794871795,0.903030303030303,23,0.547619047619048,7,5,0.119047619047619,3,2,5,11,5,1,4,6,5,1,4,4,5,2,555.555555555556,204.081632653061
"N_CD_8_narr_D_C_2.txt",0.69231,3.53009,26,18,18,4.5,0.9,NA,NA,18,18,15.1769230769231,26,26,32.955,42.25,13.5454545454545,15.9090909090909,NA,NA,NA,NA,NA,0.9,15,0.576923076923077,2,2,0.0769230769230769,1,1,1,7,6,1,1,4,5,1,1,2,5,1,443.786982248521,266.272189349112
"N_CD_9_arg_D_C_1.txt",0.5,3.67423,54,27,27,4.42592592592593,0.98,0.633333333333333,0.48,23.1487198459452,19.2610208347167,14.4539160350481,20.4534731323722,27,33.7626483447845,54,16.3529411764706,19.8125,27.5,41.75,NA,NA,0.586666666666667,0.982222222222222,30,0.555555555555556,11,4,0.0740740740740741,4,5,6,11,8,3,3,7,5,3,2,7,5,1,425.240054869685,322.359396433471
"N_CD_9_arg_D_C_2.txt",0.53968,4.2836,63,34,34,4.57142857142857,0.966666666666667,0.716666666666667,0.62,25.9411584171972,20.9505959025562,15.1277770710842,16.4628522630231,29.8350951374207,44.9656488549618,68.4310344827586,16.6511627906977,25.45,44.7777777777778,NA,NA,NA,0.700980392156863,0.948148148148148,34,0.53968253968254,10,3,0.0476190476190476,5,6,4,15,9,6,3,11,3,6,3,7,3,2,403.124212648022,347.694633408919
"N_CD_9_arg_D_C_3.txt",0.75472,5.49442,53,40,37,4.60377358490566,0.96,0.833333333333333,0.76,33.1496286177751,25.7631093656621,17.6472637240673,42.5669291338583,60.5015384615385,84.27,108.038461538462,20.75,NA,NA,NA,NA,NA,0.841666666666667,0.959090909090909,28,0.528301886792453,9,4,0.0754716981132075,5,4,5,10,9,3,4,10,6,3,3,8,6,3,227.839088643645,142.399430402278
"N_CD_9_narr_D_C_1.txt",0.70769,5.7056,65,46,44,4.76923076923077,0.883333333333333,0.783333333333333,0.76,32.9515351903077,25.745730874317,17.6824424253694,20.1472650771389,37.2544638014449,86.7236842105263,111.184210526316,25.75,16,NA,NA,NA,NA,0.825,0.898214285714286,35,0.538461538461538,11,3,0.0461538461538462,6,8,3,14,10,5,2,10,10,4,2,10,10,2,184.615384615385,118.343195266272
"N_CD_9_narr_D_C_2.txt",0.70588,7.70027,119,84,78,4.9327731092437,0.945454545454545,0.866666666666667,0.81,36.2684675378393,27.7429216946774,18.5957449003304,41.0193548387097,119,157.794,202.3,42.0615384615385,113.857142857143,NA,NA,0.742,0.802237762237762,0.881111111111111,0.96,57,0.478991596638655,14,3,0.0252100840336134,13,9,5,21,22,8,4,18,20,8,4,15,19,2,196.313819645505,52.2561965962856
"N_CD_9_narr_D_C_3.txt",0.84314,6.0212,51,43,40,5.56862745098039,0.96,0.866666666666667,0.86,36.4736134453781,27.933493397359,18.7135654261705,40.8553979289441,52.9450844424561,126.79875,162.5625,11,13,NA,NA,NA,NA,0.936363636363636,0.971428571428571,30,0.588235294117647,10,3,0.0588235294117647,9,5,5,9,11,5,5,9,9,5,5,8,9,2,153.787004998078,46.1361014994233
