"Text","meanRating","nRatings","Class","ControlGroup","Learner","TextType","Language","Time"
"GermanTexts/Q/V_CD_15_narr_D_C_1.txt",3.9375,16,"V",TRUE,"15","narr","D","1"
"GermanTexts/Q/V_CD_16_arg_D_C_1.txt",4.625,16,"V",TRUE,"16","arg","D","1"
"GermanTexts/Q/V_CD_17_arg_D_C_3.txt",6.25,16,"V",TRUE,"17","arg","D","3"
"GermanTexts/Q/V_CD_24_arg_D_C_2.txt",6.125,16,"V",TRUE,"24","arg","D","2"
"GermanTexts/Q/V_CD_26_narr_D_C_2.txt",6,16,"V",TRUE,"26","narr","D","2"
"GermanTexts/Q/V_CD_27_arg_D_C_3.txt",5.5,16,"V",TRUE,"27","arg","D","3"
"GermanTexts/Q/V_CD_2_arg_D_C_3.txt",5.25,16,"V",TRUE,"2","arg","D","3"
"GermanTexts/Q/V_CD_5_narr_D_C_1.txt",5.25,16,"V",TRUE,"5","narr","D","1"
"GermanTexts/Q/V_CD_9_arg_D_C_2.txt",6.875,16,"V",TRUE,"9","arg","D","2"
"GermanTexts/Q/X_PND_4_arg_D_C_1.txt",5.5,16,"X",FALSE,"4","arg","D","1"
"GermanTexts/R/AB_PLD_5_narr_D_C_2.txt",4.11764705882353,17,"AB",FALSE,"5","narr","D","2"
"GermanTexts/R/AB_PLD_6_arg_D_C_1.txt",2.41176470588235,17,"AB",FALSE,"6","arg","D","1"
"GermanTexts/R/AB_PLD_8_narr_D_C_1.txt",4.1875,16,"AB",FALSE,"8","narr","D","1"
"GermanTexts/R/AF_PLD_2_arg_D_C_2.txt",5.47058823529412,17,"AF",FALSE,"2","arg","D","2"
"GermanTexts/R/E_PLD_10_narr_D_C_2.txt",6.47058823529412,17,"E",FALSE,"10","narr","D","2"
"GermanTexts/R/E_PLD_10_narr_D_C_3.txt",6.58823529411765,17,"E",FALSE,"10","narr","D","3"
"GermanTexts/R/E_PLD_12_arg_D_C_3.txt",4.41176470588235,17,"E",FALSE,"12","arg","D","3"
"GermanTexts/R/E_PLD_13_arg_D_C_1.txt",6.05882352941176,17,"E",FALSE,"13","arg","D","1"
"GermanTexts/R/E_PLD_16_arg_D_C_3.txt",5.64705882352941,17,"E",FALSE,"16","arg","D","3"
"GermanTexts/R/E_PLD_16_narr_D_C_1.txt",6.58823529411765,17,"E",FALSE,"16","narr","D","1"
"GermanTexts/R/E_PLD_18_narr_D_C_1.txt",2.82352941176471,17,"E",FALSE,"18","narr","D","1"
"GermanTexts/R/E_PLD_18_narr_D_C_3.txt",3.11764705882353,17,"E",FALSE,"18","narr","D","3"
"GermanTexts/R/E_PLD_3_arg_D_C_2.txt",4.05882352941176,17,"E",FALSE,"3","arg","D","2"
"GermanTexts/R/E_PLD_3_narr_D_C_2.txt",4.94117647058824,17,"E",FALSE,"3","narr","D","2"
"GermanTexts/R/E_PLD_4_arg_D_C_2.txt",4.29411764705882,17,"E",FALSE,"4","arg","D","2"
"GermanTexts/R/E_PLD_5_narr_D_C_3.txt",5.17647058823529,17,"E",FALSE,"5","narr","D","3"
"GermanTexts/R/F_PLD_1_arg_D_C_1.txt",3.58823529411765,17,"F",FALSE,"1","arg","D","1"
"GermanTexts/R/F_PLD_3_narr_D_C_1.txt",3.47058823529412,17,"F",FALSE,"3","narr","D","1"
"GermanTexts/R/H_PLD_1_arg_D_C_1.txt",3.64705882352941,17,"H",FALSE,"1","arg","D","1"
"GermanTexts/R/J_PLD_1_narr_D_C_1.txt",3.70588235294118,17,"J",FALSE,"1","narr","D","1"
"GermanTexts/R/J_PLD_5_arg_D_C_1.txt",5.88235294117647,17,"J",FALSE,"5","arg","D","1"
"GermanTexts/R/J_PLD_6_arg_D_C_3.txt",3.64705882352941,17,"J",FALSE,"6","arg","D","3"
