"Text","meanRating","nRatings","Class","ControlGroup","Learner","TextType","Language","Time"
"FrenchTexts/O/AA_PLF_7_narr_F_C_1.txt",4.75,8,"AA",FALSE,"7","narr","F","1"
"FrenchTexts/O/AA_PLF_8_arg_F_C_2.txt",5,8,"AA",FALSE,"8","arg","F","2"
"FrenchTexts/O/AD_PLF_10_arg_F_C_3.txt",4.625,8,"AD",FALSE,"10","arg","F","3"
"FrenchTexts/O/AD_PLF_14_arg_F_C_2.txt",4.75,8,"AD",FALSE,"14","arg","F","2"
"FrenchTexts/O/AD_PLF_15_narr_F_C_2.txt",3.5,8,"AD",FALSE,"15","narr","F","2"
"FrenchTexts/O/AD_PLF_24_narr_F_C_2.txt",3.75,8,"AD",FALSE,"24","narr","F","2"
"FrenchTexts/O/AD_PLF_4_arg_F_C_1.txt",5.125,8,"AD",FALSE,"4","arg","F","1"
"FrenchTexts/O/AD_PLF_6_narr_F_C_1.txt",5.625,8,"AD",FALSE,"6","narr","F","1"
"FrenchTexts/O/AD_PLF_8_narr_F_C_2.txt",5.625,8,"AD",FALSE,"8","narr","F","2"
"FrenchTexts/O/AE_PLF_1_arg_F_C_3.txt",5.5,8,"AE",FALSE,"1","arg","F","3"
"FrenchTexts/O/AE_PLF_6_arg_F_C_2.txt",4,8,"AE",FALSE,"6","arg","F","2"
"FrenchTexts/O/A_PLF_14_arg_F_C_2.txt",3,8,"A",FALSE,"14","arg","F","2"
"FrenchTexts/O/A_PLF_15_narr_F_C_3.txt",3.875,8,"A",FALSE,"15","narr","F","3"
"FrenchTexts/O/A_PLF_1_narr_F_C_2.txt",4.125,8,"A",FALSE,"1","narr","F","2"
"FrenchTexts/O/A_PLF_7_arg_F_C_1.txt",4.75,8,"A",FALSE,"7","arg","F","1"
"FrenchTexts/O/C_PLF_30_narr_F_C_1.txt",5.75,8,"C",FALSE,"30","narr","F","1"
"FrenchTexts/O/D_PLF_10_arg_F_C_3.txt",4.75,8,"D",FALSE,"10","arg","F","3"
"FrenchTexts/O/D_PLF_2_arg_F_C_1.txt",3.5,8,"D",FALSE,"2","arg","F","1"
"FrenchTexts/O/D_PLF_5_arg_F_C_3.txt",3.85714285714286,7,"D",FALSE,"5","arg","F","3"
"FrenchTexts/O/D_PLF_9_narr_F_C_3.txt",4.875,8,"D",FALSE,"9","narr","F","3"
"FrenchTexts/O/P_CF_2_narr_F_C_1.txt",4.25,8,"P",TRUE,"2","narr","F","1"
"FrenchTexts/O/P_CF_9_narr_F_C_2.txt",8.125,8,"P",TRUE,"9","narr","F","2"
"FrenchTexts/O/Q_CF_15_arg_F_C_3.txt",4.875,8,"Q",TRUE,"15","arg","F","3"
"FrenchTexts/O/Q_CF_17_narr_F_C_1.txt",3,7,"Q",TRUE,"17","narr","F","1"
"FrenchTexts/O/Q_CF_6_narr_F_C_2.txt",5.125,8,"Q",TRUE,"6","narr","F","2"
"FrenchTexts/O/Q_CF_9_narr_F_C_2.txt",5.875,8,"Q",TRUE,"9","narr","F","2"
"FrenchTexts/O/R_CF_11_arg_F_C_1.txt",5.125,8,"R",TRUE,"11","arg","F","1"
"FrenchTexts/O/R_CF_13_narr_F_C_3.txt",5.25,8,"R",TRUE,"13","narr","F","3"
"FrenchTexts/O/R_CF_15_arg_F_C_2.txt",6.125,8,"R",TRUE,"15","arg","F","2"
"FrenchTexts/O/R_CF_15_narr_F_C_3.txt",7.75,8,"R",TRUE,"15","narr","F","3"
"FrenchTexts/O/R_CF_1_arg_F_C_1.txt",4.875,8,"R",TRUE,"1","arg","F","1"
"FrenchTexts/O/R_CF_5_arg_F_C_2.txt",5.75,8,"R",TRUE,"5","arg","F","2"
"FrenchTexts/O/R_CF_5_arg_F_C_3.txt",6.5,8,"R",TRUE,"5","arg","F","3"
"FrenchTexts/O/R_CF_8_arg_F_C_1.txt",4.5,8,"R",TRUE,"8","arg","F","1"
"FrenchTexts/O/T_CF_2_narr_F_C_3.txt",7,8,"T",TRUE,"2","narr","F","3"
"FrenchTexts/O/T_CF_7_arg_F_C_1.txt",5.25,8,"T",TRUE,"7","arg","F","1"
"FrenchTexts/O/T_CF_7_narr_F_C_2.txt",4.625,8,"T",TRUE,"7","narr","F","2"
"FrenchTexts/O/W_CF_12_arg_F_C_2.txt",4.375,8,"W",TRUE,"12","arg","F","2"
"FrenchTexts/O/W_CF_12_narr_F_C_3.txt",5.625,8,"W",TRUE,"12","narr","F","3"
"FrenchTexts/O/W_CF_16_arg_F_C_2.txt",6.25,8,"W",TRUE,"16","arg","F","2"
"FrenchTexts/O/W_CF_6_arg_F_C_3.txt",8,8,"W",TRUE,"6","arg","F","3"
"FrenchTexts/O/Y_PNF_13_arg_F_C_3.txt",5.375,8,"Y",FALSE,"13","arg","F","3"
"FrenchTexts/O/Y_PNF_14_narr_F_C_1.txt",4.625,8,"Y",FALSE,"14","narr","F","1"
"FrenchTexts/O/Y_PNF_14_narr_F_C_2.txt",5.875,8,"Y",FALSE,"14","narr","F","2"
"FrenchTexts/O/Y_PNF_27_narr_F_C_3.txt",6.25,8,"Y",FALSE,"27","narr","F","3"
