Country,Year,Mono,One,Two,Three,Total,total_exposomes,sociopolitical,social_physical,GDP,Migration,number_leng_inst,number_stable_inst,distance,gender_equal_l,Polution_conc_inv,Eq,free_parties_l,inclu_suff_est,cred_elect_est,local_dem_est,n,Pop
Estonia,2019,6.65,22.85,41.15,29.35,93.35,0.739203700977757,0.727283440292095,0.755097381891972,31290453293.5451,15.4163092221449,1,1,84,0.701844752720087,0.970854800363237,0.592592592592593,0.603940490870655,0.883659818442428,0.711498501544693,0.710034950310603,2507,1324800
Estonia,2017,8.08333333333333,25.2166666666667,39.7833333333333,26.9166666666667,91.9166666666667,0.777452744562331,0.804724151742997,0.741090868321443,26924385103.0659,15.4163092221449,1,1,84,0.62552315664267,0.980465497704374,0.617283950617283,0.603940490870655,0.904921165790731,1,0.710034950310603,29,1327439
Estonia,2015,9.94,25.94,38.3,25.82,90.06,0.693769165828153,0.695410411451305,0.691580838330617,22890762090.1508,15.4163092221449,1,1,84,0.659284917677901,0.940148955338641,0.475308641975309,0.603940490870655,0.904921165790731,0.796832416988931,0.475947572154904,815,1331475
Estonia,2013,12.22,25.02,36.7,26.06,87.78,0.630803479120532,0.682354469560685,0.562068825200328,25115753366.1114,15.7925916070553,1,1,84,0.463750373948703,0.895295607825121,0.327160493827161,0.603940490870655,0.914715719063546,0.734814096153636,0.475947572154904,130,1326898
Estonia,2011,14.5,24.1,35.1,26.3,85.5,0.658084727585558,0.680845255816266,0.627737356611279,23213994093.4631,16.1688739919657,1,1,84,0.509798197423115,0.885759551423067,0.487654320987654,0.593873626237206,0.914715719063546,0.73884410580941,0.475947572154904,4041,1326040
Finland,2017,7.96666666666667,16.4166666666667,31.9166666666667,43.7666666666667,92.1,0.728673272271674,0.660226364859378,0.81993581548807,255647979916.471,5.73968325726902,2,3,51,0.65733831066174,1,0.802469135802469,0.480838247290084,0.842331581462017,0.673663344529051,0.644072286156362,836,5566210
Finland,2019,7.9,18.05,32.55,41.5,92.1,0.758023657759448,0.657658280769555,0.891844160412638,268514916972.549,5.73968325726902,2,3,51,0.905680218878195,0.98590164507577,0.78395061728395,0.480838247290084,0.832059245102724,0.673663344529051,0.644072286156362,1146,5514100
France,2011,41.2,34.9,19.2,4.6,58.7,0.611129847259675,0.671168277915854,0.53107860638477,2865157541994.17,11.5617252969557,1,5,15,0.601169310764201,0.553794903451837,0.438271604938271,0.456749385859517,0.841853798375538,0.707429587299265,0.678640340129095,1967,65316851
France,2017,37.0166666666667,35.25,21.7166666666667,6.01666666666667,62.9833333333333,0.685832204389838,0.681074262417452,0.692176127019685,2595151045197.65,12.0884793768866,1,5,15,0.816265901000798,0.717052603515046,0.543209876543211,0.480838247290084,0.883182035355949,0.681636426894681,0.678640340129095,50,65438667
France,2016,40.16,35.3,19.92,4.6,59.82,0.655835730660721,0.685307863306434,0.61653955379977,2439188643162.5,12.0884793768866,1,5,15,0.697502896409844,0.676807123014157,0.475308641975309,0.480838247290084,0.839464882943145,0.742287982863414,0.678640340129095,378,64818789
France,2013,40.68,35.1,19.56,4.6,59.26,0.641501908198259,0.685307863306434,0.583093968054025,2811876903329.03,11.8251023369212,1,5,15,0.644580916982944,0.617046666191478,0.487654320987654,0.480838247290084,0.839464882943145,0.742287982863414,0.678640340129095,118,66734800
France,2019,31.25,34.95,24.95,8.85,68.75,0.676407211089183,0.681074262417452,0.670184475984824,2728870246705.88,12.0884793768866,1,5,15,0.724487533997556,0.718164659389015,0.567901234567901,0.480838247290084,0.883182035355949,0.681636426894681,0.678640340129095,1127,67028000
Germany,2011,21.5,41.9,26.3,10.3,78.5,0.77243104419727,0.863909245361325,0.650460109311862,3749314991050.59,14.5186915462586,1,10,31,0.825582477601391,0.527032418235431,0.598765432098765,0.456749385859517,1,0.998887595585785,1,10,80274983
Germany,2014,21.42,41.82,26.42,10.34,78.58,0.745797455655099,0.797974165627674,0.676228509024998,3733804649549.03,14.6988714207909,1,10,31,0.860734649541857,0.618568161483755,0.549382716049383,0.480838247290084,0.89010989010989106,0.845391140221911,0.975557384888809,2394,82905782
Germany,2019,16.8,41.55,28.2,13.5,83.25,0.770107575389864,0.834768258645469,0.683893331049057,3889177589254.9,14.8790512953233,1,10,31,0.814817730019517,0.699825226090617,0.537037037037037,0.480838247290084,0.883420926899188,0.999256475503795,0.975557384888809,2003,83019200
Germany,2017,19.8,41.65,27.1333333333333,11.4333333333333,80.2166666666667,0.766072575949743,0.834768258645469,0.674478332355441,3690849152517.65,14.8790512953233,1,10,31,0.80239382496182,0.696349814079812,0.524691358024691,0.480838247290084,0.883420926899188,0.999256475503795,0.975557384888809,46,80425823
Germany,2016,21.34,41.74,26.54,10.38,78.66,0.753989697066441,0.797974165627674,0.695343738984797,3357585719351.56,14.8790512953233,1,10,31,0.872876922902425,0.65759873849641,0.555555555555555,0.480838247290084,0.89010989010989106,0.845391140221911,0.975557384888809,114,80274983
Greece,2019,31.15,51.75,14.2,2.9,68.85,0.624962334324878,0.714164243353444,0.506026455620124,205252760889.364,11.3423773738507,2,5,566,0.479861203672287,0.587600879237466,0.450617283950618,0.480838247290084,0.963927376970856,0.634468599490482,0.777422749662354,73,10722800
Greece,2017,32.7166666666667,49.5833333333333,14.9333333333333,2.76666666666667,67.2833333333333,0.600759765179868,0.706601247274399,0.459637789053827,199844406013.531,11.3423773738507,2,5,566,0.429434305740094,0.579108691051016,0.37037037037037,0.480838247290084,0.903248924988056,0.664895067157102,0.777422749662354,29,10645000
Greece,2015,35.18,47.4,14.68,2.76,64.84,0.561763660628951,0.703967917135623,0.372157985286723,195683527003.375,11.3423773738507,2,5,566,0.33932483912477,0.505544178463795,0.271604938271605,0.480838247290084,0.903248924988056,0.654361746601997,0.777422749662354,2497,10721582
